symbol,Name,MarketCap,IPOyear,Sector,Industry,,,,,
VCVCU,10X Capital Venture Acquisition Corp,n/a,2020,Finance,Business Services,,,,,https://old.nasdaq.com/screening/companies-by-name.aspx?letter=0&render=download&exchange=
TXG,"10x Genomics, Inc.",$16.48B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,
YI,"111, Inc.",$585.58M,2018,Health Care,Medical/Nursing Services,,,,,
PIH,"1347 Property Insurance Holdings, Inc.",$15.37M,2014,Finance,Property-Casualty Insurers,,,,,
PIHPP,"1347 Property Insurance Holdings, Inc.",n/a,n/a,Finance,Property-Casualty Insurers,,,,,
TURN,180 Degree Capital Corp.,$62.55M,n/a,Finance,Finance/Investors Services,,,,,
ATNF,180 Life Sciences Corp.,$66.86M,2017,Health Care,Major Pharmaceuticals,,,,,
ATNFW,180 Life Sciences Corp.,n/a,2017,Health Care,Major Pharmaceuticals,,,,,
FLWS,"1-800-FLOWERS.COM, Inc.",$1.52B,1999,Consumer Services,Other Specialty Stores,,,,,
GOED,1847 Goedeker Inc.,$36.67M,2020,Consumer Services,Home Furnishings,,,,,
BCOW,"1895 Bancorp of Wisconsin, Inc.",$47.65M,2019,Finance,Banks,,,,,
ONEM,"1Life Healthcare, Inc.",$4.37B,2020,Health Care,Medical/Nursing Services,,,,,
FCCY,1st Constitution Bancorp (NJ),$167.29M,n/a,Finance,Savings Institutions,,,,,
SRCE,1st Source Corporation,$953.66M,n/a,Finance,Major Banks,,,,,
VNET,"21Vianet Group, Inc.",$3.77B,2011,Technology,"Computer Software: Programming, Data Processing",,,,,
XXII,"22nd Century Group, Inc",$220.79M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,,,,,
TWOU,"2U, Inc.",$2.33B,2014,Technology,Computer Software: Prepackaged Software,,,,,
QFIN,"360 DigiTech, Inc.",$1.82B,2018,Finance,Finance: Consumer Services,,,,,
KRKR,36Kr Holdings Inc.,$124.11M,2019,Miscellaneous,Business Services,,,,,
DDD,3D Systems Corporation,$1.14B,n/a,Technology,Computer Software: Prepackaged Software,,,,,
MMM,3M Company,$99.63B,n/a,Health Care,Medical/Dental Instruments,,,,,
FVAM,5:01 Acquisition Corp.,$110.85M,2020,Finance,Business Services,,,,,
WBAI,500.com Limited,$115.67M,2013,Consumer Services,Services-Misc. Amusement & Recreation,,,,,
JOBS,"51job, Inc.",$4.75B,2004,Technology,Diversified Commercial Services,,,,,
ETNB,"89bio, Inc.",$536.93M,2019,Health Care,Major Pharmaceuticals,,,,,
EGHT,8x8 Inc,$2.1B,n/a,Technology,EDP Services,,,,,
EGHT,8x8 Inc,$2.1B,n/a,Technology,EDP Services,,,,,
NMTR,"9 Meters Biopharma, Inc.",$146M,2018,Health Care,Major Pharmaceuticals,,,,,
JFU,9F Inc.,$343.54M,2019,Finance,Finance: Consumer Services,,,,,
AHC,A.H. Belo Corporation,$32.33M,n/a,Consumer Services,Newspapers/Magazines,,,,,
AOS,A.O Smith Corporation,$9.09B,n/a,Consumer Durables,Consumer Electronics/Appliances,,,,,
ATEN,"A10 Networks, Inc.",$612.13M,2014,Technology,Computer Communications Equipment,,,,,
AAON,"AAON, Inc.",$3.4B,n/a,Capital Goods,Industrial Machinery/Components,,,,,
AIR,AAR Corp.,$1B,n/a,Capital Goods,Aerospace,,,,,
AAN$,"Aarons Holdings Company, Inc.",n/a,n/a,n/a,n/a,,,,,
PRG$,"Aarons Holdings Company, Inc.",n/a,n/a,n/a,n/a,,,,,
ABB,ABB Ltd,$54.23B,n/a,Consumer Durables,Electrical Products,,,,,
ABT,Abbott Laboratories,$191.8B,n/a,Health Care,Major Pharmaceuticals,,,,,
ABBV,AbbVie Inc.,$184.63B,2012,Health Care,Major Pharmaceuticals,,,,,
ABCM,Abcam plc,$4.32B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ABEO,Abeona Therapeutics Inc.,$159.61M,n/a,Health Care,Major Pharmaceuticals,,,,,
ANF,Abercrombie & Fitch Company,$1.29B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,,,,,
FAX,Aberdeen Asia-Pacific Income Fund Inc,$1.04B,1986,n/a,n/a,,,,,
IAF,Aberdeen Australia Equity Fund Inc,$114.85M,n/a,n/a,n/a,,,,,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",$383.18M,n/a,n/a,n/a,,,,,
AGD,Aberdeen Global Dynamic Dividend Fund,$125.37M,2006,n/a,n/a,,,,,
FCO,"Aberdeen Global Income Fund, Inc.",$66M,1992,n/a,n/a,,,,,
AWP,Aberdeen Global Premier Properties Fund,$441.56M,2007,n/a,n/a,,,,,
ACP,Aberdeen Income Credit Strategies Fund,$180.42M,2011,n/a,n/a,,,,,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",$124.57M,1992,n/a,n/a,,,,,
ASGI,Aberdeen Standard Global Infrastructure Income Fund,n/a,2020,n/a,n/a,,,,,
AOD,Aberdeen Total Dynamic Dividend Fund,$902.49M,2007,n/a,n/a,,,,,
ABMD,"ABIOMED, Inc.",$12.39B,n/a,Health Care,Medical/Dental Instruments,,,,,
ABM,ABM Industries Incorporated,$2.57B,n/a,Finance,Diversified Commercial Services,,,,,
AXAS,Abraxas Petroleum Corporation,$19.83M,n/a,Energy,Oil & Gas Production,,,,,
ABST,Absolute Software Corporation,$502.41M,2020,Technology,Computer Software: Prepackaged Software,,,,,
ACIU,AC Immune SA,$397.45M,2016,Health Care,Major Pharmaceuticals,,,,,
ACIA,"Acacia Communications, Inc.",$2.94B,2016,Technology,Semiconductors,,,,,
ACTG,Acacia Research Corporation,$181.84M,n/a,Miscellaneous,Multi-Sector Companies,,,,,
ASO,"Academy Sports and Outdoors, Inc.",$1.48B,2020,Consumer Services,Other Specialty Stores,,,,,
ACHC,"Acadia Healthcare Company, Inc.",$3.78B,n/a,Health Care,Medical Specialities,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,$9.01B,1985,Health Care,Major Pharmaceuticals,,,,,
AKR,Acadia Realty Trust,$1.23B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
ACAM,Acamar Partners Acquisition Corp.,$389.61M,2019,Consumer Durables,Automotive Aftermarket,,,,,
ACAMU,Acamar Partners Acquisition Corp.,n/a,2019,Consumer Durables,Automotive Aftermarket,,,,,
ACAMW,Acamar Partners Acquisition Corp.,n/a,2019,Consumer Durables,Automotive Aftermarket,,,,,
ACST,"Acasti Pharma, Inc.",$28.1M,n/a,Health Care,Major Pharmaceuticals,,,,,
ACEL,"Accel Entertainment, Inc.",$1.01B,2017,Consumer Services,Services-Misc. Amusement & Recreation,,,,,
AXDX,"Accelerate Diagnostics, Inc.",$446.54M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,,,,,
XLRN,Acceleron Pharma Inc.,$7.11B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ACN,Accenture plc,$157.95B,2001,Miscellaneous,Business Services,,,,,
ACCO,Acco Brands Corporation,$723.85M,n/a,Consumer Durables,Publishing,,,,,
ACCD,"Accolade, Inc.",$2.86B,2020,n/a,n/a,,,,,
ARAY,Accuray Incorporated,$406.76M,2007,Health Care,Medical/Dental Instruments,,,,,
ACEV,ACE Convergence Acquisition Corp.,$283.19M,2020,Finance,Business Services,,,,,
ACEVU,ACE Convergence Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
ACEVW,ACE Convergence Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
ACLL,"ACell, Inc.",n/a,n/a,n/a,n/a,,,,,
ACRX,"AcelRx Pharmaceuticals, Inc.",$135.72M,2011,Health Care,Major Pharmaceuticals,,,,,
ACER,Acer Therapeutics Inc.,$33.05M,n/a,Health Care,Major Pharmaceuticals,,,,,
ACHV,"Achieve Life Sciences, Inc. ",$31.18M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,
ACIW,"ACI Worldwide, Inc.",$3.8B,n/a,Technology,Computer Software: Prepackaged Software,,,,,
ACACU,Acies Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
ACRS,"Aclaris Therapeutics, Inc.",$143.35M,2015,Health Care,Major Pharmaceuticals,,,,,
ACMR,"ACM Research, Inc.",$1.53B,2017,Technology,Industrial Machinery/Components,,,,,
ACU,Acme United Corporation.,$110.58M,1988,Capital Goods,Industrial Machinery/Components,,,,,
ACNB,ACNB Corporation,$216.8M,n/a,Finance,Major Banks,,,,,
STWO,ACON S2 Acquisition Corp.,$309.38M,2020,Finance,Business Services,,,,,
STWOU,ACON S2 Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
STWOW,ACON S2 Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
ACOR,"Acorda Therapeutics, Inc.",$32.03M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ATV,"Acorn International, Inc.",$53.48M,2007,Consumer Services,Other Specialty Stores,,,,,
ATNM,"Actinium Pharmaceuticals, Inc.",$149.45M,n/a,Health Care,Major Pharmaceuticals,,,,,
ATVI,"Activision Blizzard, Inc",$61.43B,n/a,Technology,Computer Software: Prepackaged Software,,,,,
AYI,"Acuity Brands, Inc. ",$4.37B,n/a,Consumer Durables,Building Products,,,,,
GOLF,Acushnet Holdings Corp.,$2.8B,2016,Consumer Non-Durables,Recreational Products/Toys,,,,,
AFIB,"Acutus Medical, Inc.",$791.39M,2020,Health Care,Medical/Dental Instruments,,,,,
ADMS,"Adamas Pharmaceuticals, Inc.",$129.2M,2014,Health Care,Major Pharmaceuticals,,,,,
ADMP,Adamis Pharmaceuticals Corporation,$40.58M,n/a,Health Care,Major Pharmaceuticals,,,,,
ADX,"Adams Diversified Equity Fund, Inc.",$1.81B,n/a,n/a,n/a,,,,,
PEO,"Adams Natural Resources Fund, Inc.",$326.37M,n/a,n/a,n/a,,,,,
AE,"Adams Resources & Energy, Inc.",$112.42M,n/a,Energy,Oil Refining/Marketing,,,,,
AHCO,AdaptHealth Corp. ,$2.68B,2018,Health Care,Medical/Nursing Services,,,,,
ADAP,Adaptimmune Therapeutics plc,$775.44M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ADPT,Adaptive Biotechnologies Corporation,$6.6B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ADCT,ADC Therapeutics SA,$2.86B,2020,Health Care,Major Pharmaceuticals,,,,,
ADXN,Addex Therapeutics Ltd,$43.65M,n/a,Health Care,Major Pharmaceuticals,,,,,
ADUS,Addus HomeCare Corporation,$1.57B,2009,Health Care,Medical/Nursing Services,,,,,
AEY,"ADDvantage Technologies Group, Inc.",$37.61M,n/a,Consumer Services,Office Equipment/Supplies/Services,,,,,
AGRO,Adecoagro S.A.,$725.15M,2011,Consumer Non-Durables,Farming/Seeds/Milling,,,,,
ADIL,"Adial Pharmaceuticals, Inc",$33.54M,2018,Health Care,Major Pharmaceuticals,,,,,
ADILW,"Adial Pharmaceuticals, Inc",n/a,2018,Health Care,Major Pharmaceuticals,,,,,
ACET,"Adicet Bio, Inc.",$241.54M,2018,Health Care,Major Pharmaceuticals,,,,,
ADNT,Adient plc,$2.94B,2016,Capital Goods,Auto Parts:O.E.M.,,,,,
ADTX,"ADiTx Therapeutics, Inc.",$25.05M,2020,Health Care,Major Pharmaceuticals,,,,,
ADMA,ADMA Biologics Inc,$192.88M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ADBE,Adobe Inc.,$229.53B,1986,Technology,Computer Software: Prepackaged Software,,,,,
ADT,ADT Inc.,$6.41B,2018,Consumer Services,Diversified Commercial Services,,,,,
ATGE,Adtalem Global Education Inc.,$1.49B,n/a,Consumer Services,Other Consumer Services,,,,,
ADTN,"ADTRAN, Inc.",$605.93M,1994,Public Utilities,Telecommunications Equipment,,,,,
AAP,Advance Auto Parts Inc,$10.02B,n/a,Consumer Services,Other Specialty Stores,,,,,
WMS,"Advanced Drainage Systems, Inc.",$4.92B,2014,Capital Goods,Containers/Packaging,,,,,
ADES,"Advanced Emissions Solutions, Inc.",$104.8M,n/a,Basic Industries,Major Chemicals,,,,,
AEIS,"Advanced Energy Industries, Inc.",$3.69B,1995,Capital Goods,Industrial Machinery/Components,,,,,
AMD,"Advanced Micro Devices, Inc.",$111.44B,n/a,Technology,Semiconductors,,,,,
ASIX,AdvanSix Inc.,$498.1M,2016,Basic Industries,Major Chemicals,,,,,
ADV,Advantage Solutions Inc. ,$3.29B,2019,Miscellaneous,Business Services,,,,,
ADVWW,Advantage Solutions Inc. ,n/a,2019,Miscellaneous,Business Services,,,,,
ADXS,"Advaxis, Inc.",$31.22M,n/a,Health Care,Major Pharmaceuticals,,,,,
