symbol,returnOnEquity,returnOnInvestment,beta,Cluster,Sector,Industry
ACTG,13.49569,14.68407,0.86395,2,Miscellaneous,Multi-Sector Companies
ACCO,10.14677,3.38702,2.28566,0,Consumer Durables,Publishing
AB,18.06116,18.03733,1.52962,1,Finance,Investment Managers
AC,6.80088,2.43643,1.32777,0,Finance,Investment Bankers/Brokers/Service
AAP,13.21577,6.82951,1.27672,2,Consumer Services,Other Specialty Stores
ACLS,10.36718,9.1067,1.41803,0,Technology,Industrial Machinery/Components
A,14.94647,9.25831,1.05468,2,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ABB,3.20988,1.96247,1.09618,2,Consumer Durables,Electrical Products
ABG,29.59133,10.71474,1.71632,1,Consumer Durables,Automotive Aftermarket
ABT,10.61342,5.76175,0.82949,2,Health Care,Major Pharmaceuticals
ABMD,19.11949,18.59751,1.35767,1,Health Care,Medical/Dental Instruments
ACM,4.88182,2.54774,1.63648,0,Consumer Services,Military/Government/Technical
ACN,32.52412,24.55942,1.08359,1,Miscellaneous,Business Services
ACHC,3.98963,1.62419,1.4769,0,Health Care,Medical Specialities
ADI,10.29868,6.10569,1.32171,0,Technology,Semiconductors
ADM,8.56133,5.40228,0.8528,2,Consumer Non-Durables,Packaged Foods
ACOR,16.51243,7.22468,0.69122,2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACIA,11.32422,10.77628,0.76295,2,Technology,Semiconductors
ADBE,35.20547,26.17028,0.96798,1,Technology,Computer Software: Prepackaged Software
ADCT,19.64877,6.87451,2.08378,0,Health Care,Major Pharmaceuticals
ACIW,5.59176,2.36979,1.25311,0,Technology,Computer Software: Prepackaged Software
AAON,24.38527,22.5035,0.68644,1,Capital Goods,Industrial Machinery/Components
AGCO,6.2769,2.63559,1.2221,0,Capital Goods,Industrial Machinery/Components
ADUS,7.09379,6.05918,0.59695,2,Health Care,Medical/Nursing Services
AEIS,14.53012,8.15666,1.82365,0,Capital Goods,Industrial Machinery/Components
ADP,44.40445,26.70249,0.71948,1,Technology,EDP Services
ADS,21.34421,2.34782,2.58205,0,Miscellaneous,Business Services
ADV,14.49975,1.32874,1.19679,2,Miscellaneous,Business Services
AEE,10.27128,3.1477,0.21313,2,Public Utilities,Power Generation
AEM,12.43144,7.8686,0.63749,2,Basic Industries,Precious Metals
AEP,9.53676,2.72525,0.21263,2,Public Utilities,Electric Utilities: Central
AGM,16.31017,0.87804,1.07227,2,Finance,Finance Companies
AGR,4.2011,1.97201,0.226,2,Public Utilities,Electric Utilities: Central
AHH,7.62076,2.75977,0.78739,2,Finance,Real Estate
AJRD,19.73973,6.88093,0.42816,2,Capital Goods,Military/Government/Technical
AIN,14.24934,7.88004,1.39747,0,Basic Industries,Textiles
AL,9.69871,2.69893,2.16016,0,Technology,Diversified Commercial Services
AIT,2.09938,1.00507,1.48181,0,Consumer Durables,Industrial Specialties
AJG,13.98022,7.1182,0.70804,2,Finance,Specialty Insurers
ALB,9.5842,4.59625,1.5749,0,Basic Industries,Major Chemicals
ALE,7.87738,3.4385,0.39424,2,Public Utilities,Power Generation
ALG,10.05271,6.63444,0.98179,2,Capital Goods,Industrial Machinery/Components
ALRM,19.3374,14.08362,1.09504,1,Technology,Computer Software: Prepackaged Software
AKAM,14.79217,8.98913,0.49256,2,Miscellaneous,Business Services
ALCO,12.16788,5.62999,0.70706,2,Consumer Non-Durables,Farming/Seeds/Milling
ALLE,39.9788,12.29879,1.12986,1,Consumer Services,Diversified Commercial Services
AMSWA,5.53523,5.3318,0.50342,2,Technology,Computer Software: Prepackaged Software
AMOV,17.02142,3.5194,0.76132,2,Public Utilities,Telecommunications Equipment
AMOV,17.02142,3.5194,0.76132,2,Public Utilities,Telecommunications Equipment
AMOT,11.6307,5.23208,1.71508,0,Capital Goods,Electrical Products
AN,12.21163,6.98124,1.56612,0,Consumer Durables,Automotive Aftermarket
AMPH,1.67372,1.65086,0.84624,2,Health Care,Major Pharmaceuticals
AMAT,38.51639,22.29066,1.48316,1,Technology,Semiconductors
AMRC,12.17974,5.11641,0.54632,2,Basic Industries,Engineering & Construction
AMRX,23.87788,0.33758,1.2329,2,Health Care,Major Pharmaceuticals
AMZN,24.95208,11.31595,1.20121,1,Consumer Services,Catalog/Specialty Distribution
ALXN,8.92263,6.38986,1.25432,2,Health Care,Major Pharmaceuticals
ANET,24.81522,20.93057,1.18963,1,Technology,Computer Communications Equipment
ALV,7.53701,3.50141,1.92038,0,Capital Goods,Auto Parts:O.E.M.
AMKR,15.31515,8.80095,1.66286,0,Technology,Semiconductors
AMD,28.66126,21.61351,2.267,1,Technology,Semiconductors
AME,16.5029,10.1778,1.3697,0,Capital Goods,Industrial Machinery/Components
AMG,3.67974,5.61839,1.43044,0,Finance,Investment Managers
AMN,11.74982,5.11177,0.50077,2,Technology,Professional Services
AMP,30.17241,1.33112,1.74516,0,Finance,Investment Managers
AMX,17.02142,3.5194,0.76132,2,Public Utilities,Telecommunications Equipment
AMCX,19.87182,3.66655,1.34299,0,Consumer Services,Television Services
AMEH,16.47977,22.75408,0.60302,1,Consumer Services,Professional Services
ANGI,0.62175,0.48179,1.90075,0,Consumer Services,Advertising
AMED,24.45037,16.26518,0.74577,1,Health Care,Medical/Nursing Services
ALSN,46.47414,8.58774,1.24189,1,Capital Goods,Auto Parts:O.E.M.
ALSK,5.7014,1.92415,1.48468,0,Public Utilities,Telecommunications Equipment
AMWD,9.09202,4.44158,2.2691,0,Basic Industries,Forest Products
APEI,5.83479,5.58376,0.84941,2,Consumer Services,Other Consumer Services
AP,13.39419,2.81464,1.1175,2,Capital Goods,Fluid Controls
ARC,3.97957,1.98464,1.66444,0,Consumer Services,Professional Services
ARAY,25.06134,4.65874,2.09974,0,Health Care,Medical/Dental Instruments
ARL,3.76285,1.19658,1.12603,2,Finance,Real Estate
ARCB,5.31468,3.39392,1.83204,0,Transportation,Trucking Freight/Courier Services
ANSS,11.7952,10.39162,1.22284,2,Technology,Computer Software: Prepackaged Software
APOG,9.27395,6.53657,1.19775,2,Capital Goods,Auto Parts:O.E.M.
APPS,38.44177,32.78905,2.41591,1,Miscellaneous,Multi-Sector Companies
ARES,12.32154,1.65947,1.21671,0,Finance,Investment Managers
AON,51.69178,13.48615,0.83515,1,Finance,Specialty Insurers
AOS,18.58196,14.04491,1.07194,1,Consumer Durables,Consumer Electronics/Appliances
APTV,31.40556,16.58768,2.24756,1,Capital Goods,Auto Parts:O.E.M.
APD,16.43511,9.93167,0.79976,2,Basic Industries,Major Chemicals
APH,25.34066,13.05961,1.27268,1,Capital Goods,Electrical Products
ATEN,8.95702,6.06825,0.94222,2,Technology,Computer Communications Equipment
ATUS,6.95609,0.34018,1.09707,2,Consumer Services,Television Services
AU,21.94444,10.47479,0.42057,2,Basic Industries,Precious Metals
ATVI,16.63598,12.49295,0.67153,2,Technology,Computer Software: Prepackaged Software
ASTE,2.12813,2.01739,1.34847,0,Capital Goods,Construction/Ag Equipment/Trucks
ARW,9.67242,5.81862,1.55066,0,Technology,Electronic Components
ASML,25.85614,17.54763,1.05253,1,Technology,Industrial Machinery/Components
ATGE,19.11101,12.8008,1.30838,1,Consumer Services,Other Consumer Services
ASC,4.65068,2.17541,1.1617,2,Transportation,Marine Transportation
ASR,8.45544,5.77163,1.28948,0,Transportation,Aerospace
ATHM,22.46252,21.6693,0.77341,1,Technology,EDP Services
ATO,9.58422,4.49933,0.29692,2,Public Utilities,Oil/Gas Transmission
ATR,12.63668,7.10951,0.61772,2,Consumer Non-Durables,Plastic Products
ATV,16.15881,16.02685,0.20092,2,Consumer Services,Other Specialty Stores
ASGN,12.90051,6.95042,2.21796,0,Technology,Professional Services
ARTNA,10.41155,3.22341,0.00564,2,Public Utilities,Water Supply
ATRS,11.23977,5.95657,1.40506,0,Health Care,Medical/Dental Instruments
AUDC,7.22664,5.21019,0.583,2,Public Utilities,Telecommunications Equipment
ATAX,3.97765,1.56831,0.58632,2,Finance,Finance: Consumer Services
ATRI,13.94235,13.23131,0.13872,2,Health Care,Medical/Dental Instruments
ATCO,6.44975,3.6677,1.09466,2,Transportation,Marine Transportation
ATKR,48.72723,12.52578,2.47583,1,Miscellaneous,Industrial Machinery/Components
ASIX,4.10827,1.80576,1.83196,0,Basic Industries,Major Chemicals
AYI,12.27264,9.11126,1.50646,0,Consumer Durables,Building Products
